Map04: The Citidal Gates
4:200:100000:level4:9:5
48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:4:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,80:17:23:80:0,75:16:0:0:0,70:25:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:13:0:0:0,0:0:8:0:0,0:0:0:0:0,0:0:31:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:3:0:0:0,48:27:0:0:0,48:27:0:0:0,48:27:0:0:0,48:3:0:0:0,48:3:0:0:0,0:0:61:180:0,0:0:30:0:0,0:0:62:180:0,48:3:0:0:0,48:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:33:225:0,64:3:29:225:0,0:0:0:0:0,0:0:56:180:0,48:11:0:0:0,0:0:6:0:0,48:11:0:0:0,0:0:2:270:0,48:15:11:0:0,0:0:20:0:0,0:0:0:0:0,0:0:0:0:0,48:14:0:0:0,0:0:0:0:0,0:0:0:0:0,60:15:0:0:0,0:0:35:0:0,0:100:0:0:0,
48:3:0:0:0,0:0:0:0:0,6:17:23:48:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,1:16:0:0:0,0:0:31:90:0,0:0:0:0:0,0:0:31:90:0,64:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:29:0:0,0:0:17:180:0,48:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:14:0:0:0,0:0:0:0:0,60:15:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
60:3:0:0:0,0:0:0:0:0,12:17:16:90:0,0:0:0:0:0,0:0:31:90:0,1:16:0:0:0,3:16:21:0:0,1:16:0:0:0,0:0:0:0:0,0:0:2:225:0,64:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:37:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:15:0:0:0,0:0:3:0:0,4:13:27:0:0,2:5:0:0:0,48:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:15:0:0:0,0:100:0:0:0,
60:27:0:0:0,0:0:25:0:0,18:17:0:0:0,60:27:0:0:0,1:16:0:0:0,3:16:37:0:0,6:16:31:6:0,3:16:37:0:0,1:16:0:0:0,0:0:19:225:0,60:15:30:225:0,0:0:0:0:0,0:0:37:270:0,0:0:43:270:0,0:0:37:270:0,0:0:0:0:0,0:0:17:180:0,48:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:270:0,48:14:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
36:17:17:0:0,30:17:60:180:0,24:17:0:0:0,60:27:0:0:0,48:3:0:0:0,48:27:0:0:0,48:27:0:0:0,48:27:0:0:0,48:3:0:0:0,48:3:0:0:0,0:0:56:180:0,0:0:0:0:0,0:0:58:270:0,0:0:37:270:0,0:0:58:270:0,0:0:31:270:0,0:0:38:270:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,48:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
60:27:0:0:0,60:27:0:0:0,60:27:0:0:0,60:27:0:0:0,0:0:29:48:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,48:3:0:0:0,60:15:30:225:0,0:0:0:0:0,0:0:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:38:270:0,48:3:0:0:0,0:0:26:180:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:37:0:0,0:0:37:0:0,0:0:29:48:0,0:0:36:48:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,3:5:21:0:0,48:2:0:0:0,48:11:14:0:0,48:11:14:0:0,48:2:0:0:0,48:2:0:0:0,48:2:0:0:0,24:5:0:0:0,24:13:53:0:1,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,48:15:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:37:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:0:0:0,0:0:31:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:270:0,0:0:0:0:0,0:0:58:180:0,24:5:0:0:0,18:21:0:0:0,12:21:0:0:0,6:21:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,12:21:5:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:57:48:0,0:0:0:0:0,0:0:0:0:0,0:0:31:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:58:180:0,24:5:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
